,,,,,,
,,,,,,
,,,,,,Unifier (PTY) LTD
,,,,,,"Company #: 2017/265961/07, VAT #: 4010278515"
,,,,,,"Address: 186 Arathorn Estate, Leander Road, Olympus, 0081"
,,,,,,"Banking Details: FNB, Branch: 259745, Account: 62707889244"
,,,,,,
,,,,,,
UNIFIER STATEMENT OF ACCOUNT,,,,,,
,,,,,,
Prepared for,>Client name<,,Issue Date,,,
,E: ,,,,,
,C: ,,Installation date,,,
,,,,,,
Company,>company name<,,,,,
,>Company address<,,,,,
,,,,,,
,,,,,,
,,,,,,
,VAT: ,,,,,
,,,,,,
Date,Transaction,Description,Amount,Payments,,Balance
,,,,,,
27/07/2022,Deposit ,50% Quote #,"R47,093.50",,,"R47,093.50"
27/07/2022,Deposit received,50% Quote #,,"R47,093.50",,R0.00
01/08/2022,Invoice,Balance on INV­ #,"R47,093.50",,,"R47,093.50"
01/08/2022,Payment received,Balance on INV #,,"R47,093.50",,R0.00
,,,,,,
SUBTOTALS,,,"R94,187.00","R94,187.00",Balance Due,R0.00
